time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.471853623355642e-07,8.816829928663626e-06,10.009402428231633,0.0015233382597523715,0.00021308430775324183,0.0,-4.8035055738250905e-05,0.0005171610291588262,0.3133808132938442,-0.014773476014003965,0.003997180558367493,0.0,500.4747410904814,500.7655079513849,500.0097806779574,498.9326128068258
0.12000000000000001,-1.3695639845084402e-05,9.612110916615817e-05,10.03380251119812,0.006781284353337469,0.0015668981495453593,0.0,-0.0005270275591572048,0.002966686621636536,0.4998897826853323,0.011206739329363124,0.014421226201764274,0.0,463.3972915420387,464.2157407226843,462.5068212049153,464.54822168143926
0.18,-7.632519645603509e-05,0.00039611715508516414,10.063502261131338,0.007955112098620987,0.0026458036694982923,0.0,-0.001658643557410639,0.007141625286849368,0.49010524146925255,0.00215749615172012,0.008017758354226166,0.0,400.5226284437615,399.93981040287446,401.83571002396076,401.01457140954824
0.23999999999999996,-0.00022939596808178934,0.0009807507358118815,10.094818484923044,0.008083854057722384,0.0031500129852553016,0.0,-0.0034915310511702343,0.012358392326553076,0.553739498698188,0.002121566067155858,0.008871359762776247,0.0,425.08583012532307,425.15884533601496,425.83306312187193,425.82994522123573
0.3,-0.0005232057387539704,0.0019092383365915486,10.133015039073612,0.008884779081288485,0.006537169292936795,0.0,-0.006660868426022368,0.018691374057597084,0.7193864951496172,-0.00814896116585526,0.02621924250618956,0.0,456.6721307359484,458.05351101178917,458.2614396319694,457.4444622438784
0.36000000000000004,-0.001091726306538124,0.0032330803845573427,10.180395570709697,0.01113251394742143,0.012532234996319502,0.0,-0.012962796098497611,0.025660143373913247,0.8598609214361055,0.00881260309526757,0.001952556559549781,0.0,450.6658625790329,448.70038171202333,449.8841318450544,451.255252625175
0.4200000000000001,-0.0021845517305394985,0.005078397407193622,10.238473091847423,0.018903017889400964,0.015025247895295024,0.0,-0.023781115780998507,0.03681069175995283,1.0758602342962826,-0.021890740257825423,-0.016174979428750312,0.0,474.0223168385479,472.6274718910334,474.0300292733061,471.66505647177166
0.48000000000000015,-0.0039381765120999595,0.007691765791218494,10.307016973228196,0.017687614906581217,0.015564499831580036,0.0,-0.03471556923468432,0.050174281907790136,1.20880563748859,-0.026724728916114347,-0.003861660228854878,0.0,448.15127027494805,449.15100640491465,448.47518436316585,448.0823703584974
0.5400000000000001,-0.006362583929775778,0.011084404188549285,10.383855993131064,0.01608061803233163,0.015370812394905009,0.0,-0.04607855709275265,0.06273886852044978,1.3523388659513538,-0.028934163424726933,-0.007511390661664055,0.0,452.39492152099575,452.10107153487115,451.8799246164156,451.70163029229815
0.6000000000000002,-0.009491543237062994,0.015249150989488489,10.471072662269851,0.01992099098079958,0.015307499588852913,0.0,-0.05820217285405302,0.07656343398483086,1.5546215002168522,-0.056030518625037815,-0.001788609307204082,0.0,470.72971771585895,471.172410683355,470.2579277912565,468.1538475979654
0.6600000000000003,-0.013283147944584938,0.020241898066056634,10.566180132136397,0.022450448989178362,0.015476891355721278,0.0,-0.06820659014778048,0.09013001949368274,1.6155363444827615,-0.08384661325339043,-0.008874558601763997,0.0,427.4365793015663,426.83239896196017,427.67288727552494,425.29384037195524
0.7200000000000003,-0.017653512782781294,0.02603840243879818,10.663496909721298,0.017641518234140285,0.015096977166962233,0.0,-0.07743538913765143,0.10265381215414952,1.628347448101668,-0.07974947532472515,-0.00563077479903681,0.0,412.09372975288,412.3804506408549,409.6379874444747,409.9959759322536
0.7800000000000004,-0.022682096737629668,0.03262515742680888,10.768947293880366,0.013390921397358646,0.014854287858574011,0.0,-0.09014500864858166,0.11635613043786291,1.8862853799045678,-0.07285268220748836,-0.0032448195954409968,0.0,487.10907530984394,487.28754197203193,486.53967559388144,487.0515196499877
0.8400000000000004,-0.028441177317550675,0.039964116420118684,10.886216518708547,0.029110556203682414,0.022035692161881393,0.0,-0.10256069712874308,0.1300153803816509,2.022408426024242,-0.12316878403936718,0.025330551228085023,0.0,450.24355145780606,452.5493333849618,454.0782603767376,450.0171949304052
0.9000000000000005,-0.03510059763565394,0.04837050494645891,11.011469422024554,0.023288959145453703,0.03000722878769846,0.0,-0.12023483267625731,0.14958599434661424,2.1524469291869126,-0.13814153171456675,0.05198078243425906,0.0,448.8737048408761,451.0316332882465,451.5054916362865,450.281169363745
0.9600000000000005,-0.043040545131209425,0.057878616824817215,11.146619424200983,0.019584659994543507,0.03339175956462803,0.0,-0.14482165690491425,0.1668831126547769,2.352159534341942,-0.11585739600002043,0.04500792204190227,0.0,472.14040265213555,471.6035397742632,471.23723060941046,472.9419900938934
1.0200000000000005,-0.05257417006002774,0.06836750839874803,11.294682701065073,0.01801476668149249,0.03859365663824921,0.0,-0.17356058146924225,0.18257852961633061,2.5827694560328447,-0.14249887398179936,0.06117460013772999,0.0,481.04124624549667,482.26527076070215,483.0202581436395,480.99409657638427
1.0800000000000005,-0.06394452248430794,0.07976534839469543,11.45533744938562,0.022708543889726762,0.05179072959465181,0.0,-0.20691543831136303,0.1979298185209324,2.7718667155350527,-0.18358331345922385,0.09380658092530252,0.0,469.6724741093893,472.2002551760843,472.19519643875844,468.9933565683683
1.1400000000000006,-0.07738493713050802,0.09203081950210289,11.622816790997662,0.011964754405142664,0.06638078494928745,0.0,-0.2424201699896699,0.2099214398620937,2.810623583525431,-0.19061449601865343,0.12542115499703152,0.0,424.4834654626909,427.19791393156027,424.50775627221986,423.8685979171145
